u_i;p;M;L;l.1
9605;10005;1;1;1
9655;10005;1;1;1
9705;10005;1;1;1
9756;10005;1;1;1
9806;10005;1;1;1
9856;10005;1;1;1
9906;10005;1;1;1
9957;10005;1;1;1
1;10006;1;1;1
51;10006;1;1;1
102;10006;1;1;1
152;10006;1;1;1
202;10006;1;1;1
252;10006;1;1;1
303;10006;1;1;1
353;10006;1;1;1
403;10006;1;1;1
454;10006;1;1;1
504;10006;1;1;1
554;10006;1;1;1
604;10006;1;1;1
655;10006;1;1;1
705;10006;1;1;1
755;10006;1;1;1
806;10006;1;1;1
856;10006;1;1;1
906;10006;1;1;1
956;10006;1;1;1
1007;10006;1;1;1
1057;10006;1;1;1
1107;10006;1;1;1
1157;10006;1;1;1
1208;10006;1;1;1
1258;10006;1;1;1
1308;10006;1;1;1
1359;10006;1;1;1
1409;10006;1;1;1
1459;10006;1;1;1
1509;10006;1;1;1
1560;10006;1;1;1
1610;10006;1;1;1
1660;10006;1;1;1
1711;10006;1;1;1
1761;10006;1;1;1
1811;10006;1;1;1
1861;10006;1;1;1
1912;10006;1;1;1
1962;10006;1;1;1
2012;10006;1;1;1
2063;10006;1;1;1
2113;10006;1;1;1
2163;10006;1;1;1
2213;10006;1;1;1
2264;10006;1;1;1
2314;10006;1;1;1
2364;10006;1;1;1
2415;10006;1;1;1
2465;10006;1;1;1
2515;10006;1;1;1
2565;10006;1;1;1
2616;10006;1;1;1
2666;10006;1;1;1
2716;10006;1;1;1
2766;10006;1;1;1
2817;10006;1;1;1
2867;10006;1;1;1
2917;10006;1;1;1
2968;10006;1;1;1
3018;10006;1;1;1
3068;10006;1;1;1
3118;10006;1;1;1
3169;10006;1;1;1
3219;10006;1;1;1
3269;10006;1;1;1
3320;10006;1;1;1
3370;10006;1;1;1
3420;10006;1;1;1
3470;10006;1;1;1
3521;10006;1;1;1
3571;10006;1;1;1
3621;10006;1;1;1
3672;10006;1;1;1
3722;10006;1;1;1
3772;10006;1;1;1
3822;10006;1;1;1
3873;10006;1;1;1
3923;10006;1;1;1
3973;10006;1;1;1
4024;10006;1;1;1
4074;10006;1;1;1
4124;10006;1;1;1
4174;10006;1;1;1
4225;10006;1;1;1
4275;10006;1;1;1
4325;10006;1;1;1
4375;10006;1;1;1
4426;10006;1;1;1
4476;10006;1;1;1
4526;10006;1;1;1
4577;10006;1;1;1
4627;10006;1;1;1
4677;10006;1;1;1
4727;10006;1;1;1
4778;10006;1;1;1
4828;10006;1;1;1
4878;10006;1;1;1
4929;10006;1;1;1
4979;10006;1;1;1
5029;10006;1;1;1
5079;10006;1;1;1
5130;10006;1;1;1
5180;10006;1;1;1
5230;10006;1;1;1
5281;10006;1;1;1
5331;10006;1;1;1
5381;10006;1;1;1
5431;10006;1;1;1
5482;10006;1;1;1
5532;10006;1;1;1
5582;10006;1;1;1
5633;10006;1;1;1
5683;10006;1;1;1
5733;10006;1;1;1
5783;10006;1;1;1
5834;10006;1;1;1
5884;10006;1;1;1
5934;10006;1;1;1
5984;10006;1;1;1
6035;10006;1;1;1
6085;10006;1;1;1
6135;10006;1;1;1
6186;10006;1;1;1
6236;10006;1;1;1
6286;10006;1;1;1
6336;10006;1;1;1
6387;10006;1;1;1
6437;10006;1;1;1
6487;10006;1;1;1
6538;10006;1;1;1
6588;10006;1;1;1
6638;10006;1;1;1
6688;10006;1;1;1
6739;10006;1;1;1
6789;10006;1;1;1
6839;10006;1;1;1
6890;10006;1;1;1
6940;10006;1;1;1
6990;10006;1;1;1
7040;10006;1;1;1
7091;10006;1;1;1
7141;10006;1;1;1
7191;10006;1;1;1
7242;10006;1;1;1
7292;10006;1;1;1
7342;10006;1;1;1
7392;10006;1;1;1
7443;10006;1;1;1
7493;10006;1;1;1
7543;10006;1;1;1
7593;10006;1;1;1
7644;10006;1;1;1
7694;10006;1;1;1
7744;10006;1;1;1
7795;10006;1;1;1
7845;10006;1;1;1
7895;10006;1;1;1
7945;10006;1;1;1
7996;10006;1;1;1
8046;10006;1;1;1
8096;10006;1;1;1
8147;10006;1;1;1
8197;10006;1;1;1
8247;10006;1;1;1
8297;10006;1;1;1
8348;10006;1;1;1
8398;10006;1;1;1
8448;10006;1;1;1
8499;10006;1;1;1
8549;10006;1;1;1
8599;10006;1;1;1
8649;10006;1;1;1
8700;10006;1;1;1
8750;10006;1;1;1
